Sr,Domicile,Selection Quota,Hafiz e Quran,NTS,ECAT/MCAT,FA/FSC,BA/BSC,English Marks,Offered
369,OPEN,,No,52,0,699,0,0,Not Offered
370,OPEN,,No,47,0,826,0,0,Offered_IN_OPEN_QUOTA
371,OPEN,,Yes,41,0,647,0,0,Not Offered
372,OPEN,,No,44,0,712,0,0,Not Offered
373,OPEN,,No,43,0,699,0,0,Not Offered
374,OPEN,,Yes,41,0,775,0,0,Offered_IN_OPEN_QUOTA
375,OPEN,,No,47,0,638,0,0,Not Offered
376,OPEN,,No,60,0,886,0,0,Offered_IN_OPEN_QUOTA
377,OPEN,,No,52,0,729,0,0,Not Offered
378,OPEN,,No,46,0,883,0,0,Offered_IN_OPEN_QUOTA
379,OPEN,,No,46,0,844,0,0,Offered_IN_OPEN_QUOTA
380,OPEN,,No,49,0,754,0,0,Not Offered
381,OPEN,,No,56,0,870,0,0,Offered_IN_OPEN_QUOTA
382,OPEN,,No,60,0,730,0,0,Not Offered
383,OPEN,,No,54,0,705,0,0,Not Offered
384,OPEN,,No,47,0,708,0,0,Not Offered
385,OPEN,,No,68,0,979,0,0,Offered_IN_OPEN_QUOTA
386,OPEN,,No,44,0,731,0,0,Not Offered
387,OPEN,,No,51,0,636,0,0,Not Offered
388,OPEN,,No,43,0,859,0,0,Offered_IN_OPEN_QUOTA
389,OPEN,,No,54,0,673,0,0,Not Offered
390,Bahawalpur,,Yes,52,0,726,0,0,Offered_IN_BWP_QUOTA
391,OPEN,,No,48,0,760,0,0,Not Offered
392,Bahawalpur,,No,46,0,633,0,0,Not Offered
393,OPEN,,No,57,0,700,0,0,Not Offered
394,OPEN,,No,53,0,738,0,0,Not Offered
395,OPEN,,No,50,0,810,0,0,Offered_IN_OPEN_QUOTA
396,OPEN,,No,43,0,778,0,0,Not Offered
397,OPEN,,No,47,0,784,0,0,Offered_IN_OPEN_QUOTA
398,OPEN,,Yes,42,0,617,0,0,Not Offered
399,OPEN,,No,53,0,667,0,0,Not Offered
400,OPEN,,No,43,0,625,0,0,Not Offered
401,OPEN,,No,69,0,841,0,0,Offered_IN_OPEN_QUOTA
402,OPEN,,No,49,0,801,0,0,Not Offered
403,OPEN,,No,46,0,627,0,0,Not Offered
404,OPEN,,No,50,0,633,0,0,Not Offered
405,Bahawalpur,,No,47,0,756,0,0,Not Offered
406,OPEN,,No,52,0,729,0,0,Not Offered
407,OPEN,,No,56,0,773,0,0,Offered_IN_OPEN_QUOTA
408,OPEN,,No,57,0,746,0,0,Not Offered
